Name,birth_year,death_year,religion_name,ceda_name
E T Wakefield,,,Quaker,HOD
John Ross,,,Quaker,HOD
J Robinson,,,Quaker,HOD
Joseph Lister,1827,1912,Quaker,HOD
Thomas (1) Hodgkin,1798,1866,Quaker,HOD
Thomas (1) Hodgkin,1798,1866,Quaker,HOD
Robert Nicholas Fowler,1828,1891,Quaker,HOD
Henry Christy,1810,1865,Quaker,HOD
James (1) Backhouse,1794,1869,Quaker,HOD
James (1) Backhouse,1794,1869,Quaker,HOD
Jonathan Backhouse,,,Quaker,HOD
W G Gibson,,,Quaker,HOD
x Hadfield,,,Quaker,HOD
Thomas Harvey,,,Quaker,HOD
Thomas Hughes,,,Quaker,HOD
S Rickman,,,Quaker,HOD
Richard Smith,,,Quaker,HOD
W Thompson,,,Quaker,HOD
Frederick Tuckett,,,Quaker,HOD
Frederick Tuckett,,,Quaker,HOD
Joseph Sturge,,,Quaker,HOD
Robert Jun Alsop,,,Quaker,HOD
Peter Bedford,,,Quaker,HOD
Josiah Forster,,,Quaker,HOD
Josiah Forster,,,Quaker,HOD
William Forster,,,Quaker,HOD
Robert Howard,,,Quaker,HOD
Robert Howard,,,Quaker,HOD
R D Alexander,,,Quaker,HOD
J Gurney Barclay,,,Quaker,HOD
Joseph B Braithwaite,,,Quaker,HOD
Edward Carroll,,,Quaker,HOD
Elliott Cresson,,,Quaker,HOD
Elliott Cresson,,,Quaker,HOD
James Cropper,,,Quaker,HOD
Burwood Godlee,,,Quaker,HOD
Anna Gurney,,,Quaker,HOD
Anna Gurney,,,Quaker,HOD
Samuel Gurney,,,Quaker,HOD
Samuel Gurney,,,Quaker,HOD
John Barton Hack,,,Quaker,HOD
John Hodgkin,,,Quaker,HOD
John Hodgkin,,,Quaker,HOD
Luke Howard,,,Quaker,HOD
Luke Howard,,,Quaker,HOD
William Howitt,,,Quaker,HOD
Andrew Johnston,,,Quaker,HOD
Joseph Pease,,,Quaker,HOD
Joseph Whitwell Pease,,,Quaker,HOD
